"Buurten";"Naam van de buurt";"Aantal 0 tem 17-jarigen";"Aantal 18 tem 64-jarigen";"Aantal 65-plussers";"Aantal 80 tem 89-jarigen";"Aantal 90+'ers";"Interne vergrijzing";"Bevolkingsdichtheid (inw/ha)";"Bevolkingsdichtheid woongebied"
"V02-";"VINKEVELDEN";301;646;321;72;13;26,5;81;8824
"V03-";"KAPELSTRAAT";426;935;171;37;".";22,8;107;10833
"V04-";"SPORT PARK BELL";457;1046;460;122;23;31,5;89;11176
"V05-";"LEOPOLDLEI";786;1825;307;61;12;23,8;109;10855
"V07-";"METALLURGIE - COCKERILL";9;7;".";".";".";"-";".";"."
"V099";"PARK ZORGVLIET";".";16;7;".";".";".";".";"."
"V10-";"ZWAANTJES";1764;3652;757;164;24;24,8;110;11108
"V11-";"PORTUGESEHOF";883;2159;635;177;29;32,4;62;8909
"V12-";"WEERSTANDLAAN";578;1199;253;58;8;26,1;133;13251
"V13-";"HEIDE";1050;2366;675;121;18;20,6;96;9649
"V14-";"LICHTENBERG";679;1446;553;149;92;43,6;93;9346
"V19-";"BEGRAAFPLAATS";27;157;76;33;21;71,1;12;2107
"V20-";"MEERLENHOF";505;1155;385;109;21;33,8;77;8745
"V21-";"STUIVENBERG";449;659;116;17;".";17,2;68;6805
"V22-";"NACHTEGALENHOF-NOORD";374;863;267;78;6;31,5;65;7387
"V23-";"NACHTEGALENHOF-ZUID";502;1164;391;105;6;28,4;48;5986
"V29-";"HOF TER GROEN";"";"";"";"";"";"";"";""
"V301";"MORETUSBURG";181;664;199;38;13;25,6;47;4842
"V312";"VISPUTTEN";260;888;256;38;".";16,4;53;8581
"V322";"POLDERSTAD";314;874;473;48;11;12,5;14;4951
"V373";"INDUSTRIEPARK";".";".";".";".";".";".";".";"."
"V391";"POLDERBOS";".";".";".";".";".";".";".";"."
"11007A00-";"BORSBEEK-CENTRUM";216;638;359;103;60;45,4;58;7131
"11007A01-";"VOGELZANG";356;824;274;61;8;25,2;50;5439
"11007A020";"ACHTERROT";130;463;167;32;".";21,0;13;3267
"11007A03-";"VAN PUTLEI";736;1879;666;151;20;25,7;49;6907
"11007A04-";"OUDE SPRINKHAAN";1062;2517;821;187;19;25,1;105;10971
"11007A080";"SCHOENDONK";44;113;51;9;".";23,5;3;3964
"11007A09-";"FORT 3";38;78;27;8;".";29,6;1;1363902
